Period,Play #,Q,Start Duration,Stop Duration,Start Time,Stop Time,,
Period 01,1,1,0:22:21,0:22:33,20:07:50,20:08:02,,Defense
,2,1,0:23:12,0:23:19,20:08:41,20:08:48,,Kick Off Coverage
,3,1,0:23:44,0:23:48,20:09:13,20:09:17,,Kick Off Return
,4,1,0:24:13,0:24:18,20:09:42,20:09:47,,Punt
,5,1,0:24:50,0:25:01,20:10:19,20:10:30,,Offense
,6,1,0:25:47,0:25:56,20:11:16,20:11:25,,Punt Return
,7,1,0:26:19,0:26:31,20:11:48,20:12:00,,FG/XP
,8,1,0:27:00,0:27:04,20:12:29,20:12:33,,
,9,1,0:27:33,0:27:41,20:13:02,20:13:10,,
,10,1,0:28:14,0:28:22,20:13:43,20:13:51,,
,11,1,0:28:53,0:28:58,20:14:22,20:14:27,,
,12,1,0:32:35,0:32:46,20:18:04,20:18:15,,
,13,1,0:33:18,0:33:30,20:18:47,20:18:59,,
,14,1,0:33:48,0:33:55,20:19:17,20:19:24,,
,15,1,0:34:30,0:34:37,20:19:59,20:20:06,,
,16,1,0:35:08,0:35:14,20:20:37,20:20:43,,
Period 02,17,1,0:35:33,0:35:41,20:21:02,20:21:10,,
,18,1,0:36:03,0:36:12,20:21:32,20:21:41,,
,19,1,0:36:46,0:36:52,20:22:15,20:22:21,,
,20,1,0:37:15,0:37:23,20:22:44,20:22:52,,
,21,1,0:37:54,0:37:59,20:23:23,20:23:28,,
,22,1,0:40:52,0:41:03,20:26:21,20:26:32,,
,23,1,0:41:25,0:41:31,20:26:54,20:27:00,,
,24,1,0:41:57,0:42:05,20:27:26,20:27:34,,
,25,1,0:42:35,0:42:43,20:28:04,20:28:12,,
,26,1,0:47:47,0:47:53,20:33:16,20:33:22,,
,27,1,0:48:14,0:48:24,20:33:43,20:33:53,,
,28,1,0:48:45,0:48:49,20:34:14,20:34:18,,
,29,1,0:49:27,0:49:36,20:34:56,20:35:05,,
,30,1,0:50:23,0:50:33,20:35:52,20:36:02,,
,30,1,0:51:19,0:51:40,20:36:48,20:37:09,,
,31,1,0:52:18,0:52:21,20:37:47,20:37:50,,
,32,1,0:54:12,0:54:26,20:39:41,20:39:55,,
